lakeid,year4,daynum,sampledate,sta,secnview,timeon,timeoff,airtemp,windir,windspd,waveht,cloud,ice
ME,1999,187,1999-07-06,1,2,1110,1415,27,WNW,13,70,0,
ME,1999,200,1999-07-19,1,2.1,840,950,27,S,2,0,100,
ME,1999,214,1999-08-02,1,2.4,755,1000,25,NNW,5,15,5,
ME,1999,228,1999-08-16,1,2.4,920,1135,19,S,17,35,100,
ME,1999,242,1999-08-30,1,2.4,850,1134,21,SE,13,40,70,
ME,1999,270,1999-09-27,1,2.3,910,1050,13,E,5,10,100,
ME,1999,280,1999-10-07,1,2,830,855,,SE,10,,90,
ME,1999,299,1999-10-26,1,2,910,1040,12,W,10,45,30,
ME,1999,326,1999-11-22,1,3.5,930,1050,11,NW,5,15,0,
ME,2000,24,2000-01-24,1,4.5,1130,1440,-7,SW,13,,25,1
ME,2000,59,2000-02-28,1,8.8,1110,1300,7,5,5,,40,1
ME,2000,73,2000-03-13,1,5,900,1115,3,NW,3,3,100,
ME,2000,89,2000-03-29,1,2.5,915,1030,6,NW,5,4,50,
ME,2000,101,2000-04-10,1,3.1,1000,1255,3,E,8,20,100,
ME,2000,116,2000-04-25,1,6.2,910,1015,15,NW,2,3,0,
ME,2000,130,2000-05-09,1,4.5,925,1100,14.5,N,10,30,100,
ME,2000,143,2000-05-22,1,5.5,850,1015,16.5,S,13,30,100,
ME,2000,158,2000-06-06,1,3,940,1210,22,NNW,8,10,0,
ME,2000,171,2000-06-19,1,4.1,930,1115,25,W,2,5,0,
ME,2000,185,2000-07-03,1,4,1000,1230,21,N,5,25,100,
ME,2000,199,2000-07-17,1,1.3,920,1040,24,NNW,8,20,5,
ME,2000,213,2000-07-31,1,1.9,940,1230,26,NNW,12,40,80,
ME,2000,229,2000-08-16,1,1.4,830,935,21,NNE,10,40,0,
ME,2000,241,2000-08-28,1,1.2,1000,1305,25,SE,12,30,40,
ME,2000,269,2000-09-25,1,2.4,850,1010,10.8,N,10,40,70,
ME,2000,298,2000-10-24,1,5.2,830,1000,16,-,0,0,100,
ME,2000,333,2000-11-28,1,4.3,1130,1240,2.5,NNW,5,10,10,
ME,2001,17,2001-01-17,1,5.6,1000,1230,-3.7,WNW,5,,100,1
ME,2001,66,2001-03-07,1,2.5,1130,1320,1.1,W,10,0,15,
ME,2001,100,2001-04-10,1,3,1005,1115,13,,0,0,10,
ME,2001,113,2001-04-23,1,2.5,815,930,9,SSW,20,60,100,
ME,2001,127,2001-05-07,1,9,910,1110,18.5,S,5,10,100,
ME,2001,141,2001-05-21,1,4.3,910,1100,18.1,SE,10,30,100,
ME,2001,155,2001-06-04,1,5.8,815,1130,14,E,5,20,100,
ME,2001,169,2001-06-18,1,3.4,945,1050,23.4,S,15,60,80,
ME,2001,183,2001-07-02,1,2,815,1040,18.1,SE,10,15,0,
ME,2001,197,2001-07-16,1,1.8,800,940,23.6,SSE,1,10,0,
ME,2001,211,2001-07-30,1,2,920,1230,28.7,S,5,10,5,
ME,2001,225,2001-08-13,1,1.4,840,1140,21.8,N,10,35,10,
ME,2001,239,2001-08-27,1,1.75,810,1020,20.2,S,15,50,80,
ME,2001,269,2001-09-26,1,1.3,900,1030,11.9,NW,15,100,55,
ME,2001,295,2001-10-22,1,5.5,905,1030,,,0,0,95,
ME,2001,330,2001-11-26,1,3.1,915,1045,4.4,E,8,20,100,
ME,2002,87,2002-03-28,1,2.2,1100,1300,4.5,SW,8,15,100,
ME,2002,98,2002-04-08,1,2.5,1315,1430,6.4,0,0,0,100,
ME,2002,114,2002-04-24,1,4.6,1000,1230,14.6,SW,15,20,60,
ME,2002,126,2002-05-06,1,6.3,1430,1545,21.6,SW,8,15,5,
ME,2002,140,2002-05-20,1,6.6,1100,1300,8.5,NE,5,10,0,
ME,2002,154,2002-06-03,1,4.9,1030,1130,17.4,SE,15,25,85,
ME,2002,169,2002-06-18,1,6.5,1200,1400,23.9,SE,15,20,10,
ME,2002,182,2002-07-01,1,2.3,930,1130,25,NW,10,15,0,
ME,2002,196,2002-07-15,1,1.9,1030,1330,25.8,0,0,0,5,
ME,2002,207,2002-07-26,1,1.6,1030,1130,25,NW,10,15,100,
ME,2002,224,2002-08-12,1,1.2,1000,1200,23.5,W,20,35,100,
ME,2002,238,2002-08-26,1,1.7,1000,1100,28.1,,0,0,100,
ME,2002,266,2002-09-23,1,1.5,1115,1300,18.5,SW,20,60,80,
ME,2002,294,2002-10-21,1,3,1100,1300,10,S,15,40,100,
ME,2002,322,2002-11-18,1,3.5,1000,1230,4.2,S,10,20,100,
ME,2003,21,2003-01-21,1,10.2,1200,1800,-9.8,N,5,,0,1
ME,2003,93,2003-04-03,1,6.4,1330,1430,5.2,NE,20,80,100,
ME,2003,104,2003-04-14,1,3.2,1000,1200,16.9,SW,15,25,0,
ME,2003,118,2003-04-28,1,5.5,1030,1130,17,NW,10,20,5,
ME,2003,133,2003-05-13,1,6.6,1015,1230,13,NW,5,5,0,
ME,2003,147,2003-05-27,1,5,1100,1230,27,NNW,1,0,0,
ME,2003,160,2003-06-09,1,4.2,1115,1345,19,NW,10,5,50,
ME,2003,174,2003-06-23,1,2,1015,1112,26,SW,15,30,50,
ME,2003,188,2003-07-07,1,4.9,1010,1145,29,,0,0,50,
ME,2003,205,2003-07-24,1,4.6,1005,1125,24,WNW,5,5,5,
ME,2003,216,2003-08-04,1,2.4,1040,1315,23,N,10,15,100,
ME,2003,230,2003-08-18,1,1.7,1030,1145,26,SE,5,5,2,
ME,2003,245,2003-09-02,1,2.3,1030,1200,22,,0,0,0,
ME,2003,272,2003-09-29,1,2,1130,1245,18.5,W,20,40,60,
ME,2003,300,2003-10-27,1,6,1130,1400,12,SW,5,10,50,
ME,2003,329,2003-11-25,1,3.5,1100,1300,5,SW,20,90,30,
ME,2004,34,2004-02-03,1,5.2,1230,1430,-6,SW,5,,0,1
ME,2004,89,2004-03-29,1,2.9,1015,1045,6,W,15,30,5,
ME,2004,103,2004-04-12,1,2.7,1030,1210,5,NE,15,30,20,
ME,2004,119,2004-04-28,1,6.3,1030,1100,20,SW,20,70,0,
ME,2004,131,2004-05-10,1,10.1,1100,1200,20,,0,100,100,
ME,2004,145,2004-05-24,1,3,1015,1115,10,NW,15,50,100,
ME,2004,159,2004-06-07,1,5.5,1000,1200,25,S,10,50,50,
ME,2004,173,2004-06-21,1,3.75,945,1030,20.5,SSW,5,5,100,
ME,2004,188,2004-07-06,1,2.6,930,1200,21,W,20,80,100,
ME,2004,201,2004-07-19,1,2.4,1130,1200,26,W,15,50,75,
ME,2004,216,2004-08-03,1,2.3,1000,1230,26,W,5,0,95,
ME,2004,229,2004-08-16,1,1.6,1045,1130,21,SW,15,60,50,
ME,2004,251,2004-09-07,1,2.2,1200,1400,18,NW,10,30,20,
ME,2004,279,2004-10-05,1,2.3,1030,1230,7,SW,15,30,0,
ME,2004,308,2004-11-03,1,4,1000,1200,9,SE,5,10,60,
ME,2005,31,2005-01-31,1,10.2,1200,300,0,N,5,,100,1
ME,2005,105,2005-04-15,1,2.2,1030,1215,12,SE,5,5,5,
ME,2005,115,2005-04-25,1,4,1100,1230,20.5,W,5,15,10,
ME,2005,129,2005-05-09,1,7.5,1030,1230,21,S,20,40,90,
ME,2005,143,2005-05-23,1,4.3,1110,1220,18,NW,20,40,95,
ME,2005,157,2005-06-06,1,5.5,1100,1330,26,W,20,60,5,
ME,2005,171,2005-06-20,1,3.6,1045,1200,27,,0,0,5,
ME,2005,186,2005-07-05,1,1.6,1000,1145,24,NW,10,20,5,
ME,2005,199,2005-07-18,1,1.3,1030,1200,29,W,15,60,15,
ME,2005,213,2005-08-01,1,2.6,1200,1430,31,,0,0,0,
ME,2005,227,2005-08-15,1,1.6,900,945,24,,0,1,50,
ME,2005,241,2005-08-29,1,2,1140,1315,27,NW,2,4,30,
ME,2005,269,2005-09-26,1,2.4,1645,1800,20,NW,20,50,0,
ME,2005,306,2005-11-02,1,4.5,1100,1330,13,W,10,25,10,
ME,2005,334,2005-11-30,1,5.5,1230,1330,-3,NW,5,10,100,
ME,2006,65,2006-03-06,1,7.8,1215,1330,0,N,5,,100,1
ME,2006,94,2006-04-04,1,6.5,1200,1400,9,NW,25,70,0,
ME,2006,107,2006-04-17,1,6.4,1245,1450,14,NE,15,35,0,
ME,2006,122,2006-05-02,1,6.4,1200,1400,20,W,5,10,40,
ME,2006,135,2006-05-15,1,5.2,1230,1345,14,NE,20,50,100,
ME,2006,150,2006-05-30,1,5.3,1000,1045,24,NNW,20,50,50,
ME,2006,163,2006-06-12,1,4,1000,1145,22,NE,2,0,20,
ME,2006,177,2006-06-26,1,3,1145,1240,20,NE,8,25,95,
ME,2006,191,2006-07-10,1,3.3,1015,1215,21,NE,5,15,70,
ME,2006,205,2006-07-24,1,3,1030,1130,26,W,30,150,30,
ME,2006,219,2006-08-07,1,2.2,1030,1400,28,NNE,12,30,50,
ME,2006,233,2006-08-21,1,3,1050,1130,24,SW,10,30,10,
ME,2006,249,2006-09-06,1,3,1015,1300,24,NW,3,2,10,
ME,2006,275,2006-10-02,1,2.2,1130,1245,24,S,10,25,30,
ME,2006,303,2006-10-30,1,2.5,1030,1130,16,S,15,35,60,
ME,2006,331,2006-11-27,1,7.1,1400,1520,14,,0,0,100,
ME,2007,3,2007-01-03,1,6,1200,1400,5,SW,15,30,20,
ME,2007,50,2007-02-19,1,9.2,1200,1500,0,S,15,,100,1
ME,2007,92,2007-04-02,1,4.1,1130,1230,12,W,10,20,10,
ME,2007,106,2007-04-16,1,2.8,1045,1145,15,,0,0,0,
ME,2007,120,2007-04-30,1,3.1,1230,1345,18,E,20,45,15,
ME,2007,134,2007-05-14,1,7.8,1130,1315,26,SSW,20,35,30,
ME,2007,149,2007-05-29,1,6,1030,1200,24,SSW,10,20,10,
ME,2007,162,2007-06-11,1,3.8,1010,1210,25,S,5,7,15,
ME,2007,176,2007-06-25,1,3,955,1125,25,S,10,8,50,
ME,2007,190,2007-07-09,1,2.2,1055,1235,23,N,15,50,70,
ME,2007,204,2007-07-23,1,2,950,1105,24,S,5,15,10,
ME,2007,218,2007-08-06,1,2,940,1145,23,NE,2,5,100,
ME,2007,232,2007-08-20,1,2.5,1012,1102,19,NE,5,30,100,
ME,2007,247,2007-09-04,1,3,1000,1200,25,SW,10,20,0,
ME,2007,274,2007-10-01,1,1.7,1030,1200,15,NW,5,15,100,
ME,2007,302,2007-10-29,1,3,910,1032,7.5,W,15,100,30,
ME,2007,330,2007-11-26,1,4,1045,1150,2,N,15,40,100,
ME,2008,44,2008-02-13,1,10.5,1330,1530,-9,W,5,,0,1
ME,2008,105,2008-04-14,1,0.9,1200,1350,10,,0,3,0,
ME,2008,119,2008-04-28,1,4.2,1208,1250,7,NE,2,0,90,
ME,2008,133,2008-05-12,1,6,1050,1218,16,NW,2,2,10,
ME,2008,149,2008-05-28,1,10.7,1040,1143,11,,0,0,15,
ME,2008,161,2008-06-09,1,6,1100,1349,23,SW,10,15,100,
ME,2008,175,2008-06-23,1,1.75,1140,1249,23,NA,0,8,40,
ME,2008,189,2008-07-07,1,0.8,1030,1210,25,W,10,25,90,
ME,2008,203,2008-07-21,1,2,1017,1111,22,N,10,35,95,
ME,2008,217,2008-08-04,1,1.2,1030,1205,22,S,15,55,50,
ME,2008,231,2008-08-18,1,1.1,1000,1052,22,W,15,35,5,
ME,2008,249,2008-09-05,1,1.8,1115,1245,21,N,10,40,60,
ME,2008,273,2008-09-29,1,2.2,1035,1155,18,NW,2,5,100,
ME,2008,303,2008-10-29,1,3.5,1315,1500,11,N,2,5,5,
ME,2009,21,2009-01-21,1,11.3,1200,1415,-6,S,5,,20,1
ME,2009,105,2009-04-15,1,3.5,1130,1300,13,NE,10,20,0,
ME,2009,117,2009-04-27,1,3,1045,1145,16,SW,15,50,90,
ME,2009,131,2009-05-11,1,5.3,1100,1212,20,S,2,3,60,
ME,2009,148,2009-05-28,1,5.1,1100,1215,18,NW,15,30,90,
ME,2009,160,2009-06-09,1,8.5,1200,1400,15,,0,0,20,
ME,2009,174,2009-06-23,1,6.7,850,927,28,,0,0,0,
ME,2009,187,2009-07-06,1,2.2,930,1130,24,NW,5,10,10,
ME,2009,201,2009-07-20,1,0.6,910,950,23,E,3,2,20,
ME,2009,217,2009-08-05,1,0.9,855,1030,22,NW,2,2,40,
ME,2009,231,2009-08-19,1,1.2,910,950,21,SW,5,15,30,
ME,2009,245,2009-09-02,1,1.2,1010,1155,19,,0,0,30,
ME,2009,273,2009-09-30,1,2.5,950,1055,8,E,5,15,25,
ME,2009,301,2009-10-28,1,4.7,1040,1140,9,SE,5,10,100,
ME,2009,337,2009-12-03,1,5,1245,1310,0,NW,10,15,100,
ME,2010,32,2010-02-01,1,9,1035,1155,-4,W,2,,100,1
ME,2010,88,2010-03-29,1,1,1100,1200,5,NA,0,0,10,
ME,2010,103,2010-04-13,1,1.9,1130,1235,12,E,10,30,30,
ME,2010,116,2010-04-26,1,1.6,945,1020,10,N,15,20,10,
ME,2010,130,2010-05-10,1,2.5,1045,1215,14,SE,18,40,80,
ME,2010,144,2010-05-24,1,7.6,930,1000,30,NA,0,0,90,
ME,2010,158,2010-06-07,1,2.1,10,1215,21,SE,5,10,80,
ME,2010,172,2010-06-21,1,1.9,930,1030,21,SE,10,30,95,
ME,2010,186,2010-07-05,1,1.4,1000,1150,26,S,10,10,100,
ME,2010,200,2010-07-19,1,1.1,1100,1200,30,SW,5,20,50,
ME,2010,215,2010-08-03,1,1.4,1000,1230,31,NA,0,0,0,
ME,2010,228,2010-08-16,1,1.3,845,930,25,NW,15,40,0,
ME,2010,242,2010-08-30,1,1.2,830,1000,23,S,7,10,0,
ME,2010,278,2010-10-05,1,2.1,1100,1300,17,w,5,15,0,
ME,2010,313,2010-11-09,1,2.9,900,1100,18,SE,1,0,0,
ME,2011,19,2011-01-19,1,5.3,1300,1500,-8,,0,,0,
ME,2011,108,2011-04-18,1,,1200,1300,8,NE,10,25,100,
ME,2011,122,2011-05-02,1,2.5,1130,1300,10,nw,15,20,10,
ME,2011,137,2011-05-17,1,2.3,1000,1200,15,ne,10,15,10,
ME,2011,151,2011-05-31,1,6,1100,1200,26,sw,16,20,100,
ME,2011,164,2011-06-13,1,7.2,940,1200,22,NE,15,20,10,
ME,2011,178,2011-06-27,1,3.3,945,1130,23,SW,5,5,100,
ME,2011,192,2011-07-11,1,3.3,950,1225,24,S,10,15,90,
ME,2011,206,2011-07-25,1,2.6,930,1100,25,NA,0,0,0,
ME,2011,216,2011-08-04,1,3.3,1030,1300,24,SE,3,5,30,
ME,2011,234,2011-08-22,1,1.8,845,940,24,NE,2,2,20,
ME,2011,255,2011-09-12,1,2,1030,1230,27,W,10,30,10,
ME,2011,276,2011-10-03,1,2.2,930,1130,21,N,2,5,0,
ME,2011,304,2011-10-31,1,2.6,1030,1230,11,NW,5,15,100,
ME,2012,53,2012-02-22,1,2.3,1200,1400,6,W,10,,100,
ME,2012,59,2012-02-28,1,,,,,,,,,
ME,2012,81,2012-03-21,1,1.5,1130,1300,25,SW,10,30,30,
ME,2012,95,2012-04-04,1,2.6,1030,1230,10,N,5,10,30,
ME,2012,108,2012-04-17,1,7,1100,1330,17,NA,0,0,5,
ME,2012,122,2012-05-01,1,8.2,1100,1230,20,SE,10,30,80,
ME,2012,135,2012-05-14,1,7.8,1100,1300,24,W,5,15,10,
ME,2012,150,2012-05-29,1,5.6,930,1115,21,W,20,50,10,
ME,2012,163,2012-06-11,1,2.9,1030,1300,20.6,S,10,40,60,
ME,2012,177,2012-06-25,1,1.5,1115,1215,23,NE,10,30,0,
ME,2012,192,2012-07-10,1,1.8,1103,1230,29,NE,5,20,50,
ME,2012,205,2012-07-23,1,1.4,1145,1300,32,NW,2,5,40,
ME,2012,219,2012-08-06,1,1.5,1000,1230,25,NA,0,1,0,
ME,2012,233,2012-08-20,1,1.7,1100,1145,22,NA,0,0,30,
ME,2012,248,2012-09-04,1,2.1,1000,1200,30,NE,1,2,20,
ME,2012,275,2012-10-01,1,2.1,1030,1210,16,N/A,0,0,95,
ME,2012,303,2012-10-29,1,4.2,1100,1300,8,NE,12,30,10,
ME,2012,334,2012-11-29,1,2.5,1100,1300,14,SW,2,2,0,
MO,1995,129,1995-05-09,1,5.9,1300,,12.7,N,10,,100,
MO,1995,143,1995-05-23,1,6.2,,,11.6,N,5,,100,
MO,1995,157,1995-06-06,1,4.7,1430,,25.2,SW,18,,95,
MO,1995,172,1995-06-21,1,3.3,1215,,34.4,ENE,8,,,
MO,1995,188,1995-07-07,1,2.9,704,,16,W,13,,10,
MO,1995,199,1995-07-18,1,1.8,1218,,25.3,NW,10,,40,
MO,1995,214,1995-08-02,1,1.9,1318,,22.1,SW,8,,100,
MO,1995,226,1995-08-14,1,1.6,,,26.6,W,8,,80,
MO,1995,242,1995-08-30,1,1.3,,,25.2,SE,8,,10,
MO,1995,254,1995-09-11,1,1.3,,,19.1,SE,8,,10,
MO,1995,268,1995-09-25,1,1.1,1250,,13.8,SSW,13,,90,
MO,1995,284,1995-10-11,1,2.9,939,,16.8,S,5,,2,
MO,1995,298,1995-10-25,1,3,935,1017,8.3,SE,18,,5,
MO,1995,311,1995-11-07,1,2.3,925,,2.4,,18,40,100,
MO,1995,326,1995-11-22,1,4.5,915,1035,-1.8,SW,13,,100,
MO,1996,37,1996-02-06,1,5.4,1310,,,SE,10,,70,1
MO,1996,94,1996-04-03,1,2.6,930,1025,3.6,NNW,18,,100,
MO,1996,107,1996-04-16,1,3.3,910,955,4.4,NW,15,75,65,
MO,1996,122,1996-05-01,1,4.8,1125,1220,10.5,E,15,60,30,
MO,1996,135,1996-05-14,1,5.5,1315,,9.7,SSE,5,20,100,
MO,1996,150,1996-05-29,1,5.9,1000,1052,,NNE,5,5,10,
MO,1996,162,1996-06-10,1,8.8,,,17.8,E,5,3,100,
MO,1996,178,1996-06-26,1,3.5,1109,1230,21.4,S,10,15,40,
MO,1996,191,1996-07-09,1,3,955,1200,16,NE,10,30,90,
MO,1996,204,1996-07-22,1,2,1235,1400,21.4,SW,15,50,100,
MO,1996,218,1996-08-05,1,1.2,1320,1550,24.8,S,20,40,75,
MO,1996,232,1996-08-19,1,2,1145,1250,,W,2,2,100,
MO,1996,249,1996-09-05,1,2.1,,,28.3,SSE,1,5,50,
MO,1996,263,1996-09-19,1,1.8,1017,1121,18.4,NE,5,2,0,
MO,1996,290,1996-10-16,1,3.6,1000,1054,18.6,S,5,4,75,
MO,1996,330,1996-11-25,1,4.3,1415,,0,N,10,45,100,
MO,1997,14,1997-01-14,1,3.1,1250,1410,-10,SE,7,,80,1
MO,1997,48,1997-02-17,1,5.1,1300,1500,,SW,20,,45,1
MO,1997,99,1997-04-09,1,5.8,1050,1150,6.4,SSW,3,7,10,
MO,1997,111,1997-04-21,1,9.1,1150,1220,,NE,8,10,5,
MO,1997,121,1997-05-01,1,2.8,945,1100,6,NW,15,15,20,
MO,1997,133,1997-05-13,1,5.6,1035,1130,12.2,NW,2,1,10,
MO,1997,148,1997-05-28,1,3.7,950,1055,19,NE,5,10,100,
MO,1997,162,1997-06-11,1,4.6,1335,,19.7,NE,5,3,50,
MO,1997,176,1997-06-25,1,,1340,1430,27.6,NW,8,8,15,
MO,1997,190,1997-07-09,1,2.8,1016,1137,19.9,NE,13,13,60,
MO,1997,205,1997-07-24,1,2,1300,1445,30.2,SE,5,3,10,
MO,1997,219,1997-08-07,1,1.7,900,,21.5,SW,8,10,0,
MO,1997,230,1997-08-18,1,1.6,1000,1125,,NW,5,5,90,
MO,1997,251,1997-09-08,1,1.6,1120,1330,19.8,NE,3,0,100,
MO,1997,273,1997-09-30,1,1.5,1020,1120,15,NW,25,40,100,
MO,1997,303,1997-10-30,1,3.3,1030,,10.3,SE,20,20,90,
MO,1997,329,1997-11-25,1,4.8,925,1050,10,S,10,10,30,
MO,1998,37,1998-02-06,2,,1300,1310,6,,3,,30,
MO,1998,76,1998-03-17,1,3,1105,1155,4.8,NE,20,20,100,
MO,1998,103,1998-04-13,1,2.4,1530,1630,12.7,NNW,13,,25,
MO,1998,117,1998-04-27,1,7,1230,1400,12.5,NE,15,30,50,
MO,1998,131,1998-05-11,1,9.1,1150,1250,19.4,,0,0,0,
MO,1998,152,1998-06-01,1,5.1,,,18.5,SE,18,20,,
MO,1998,159,1998-06-08,1,7.8,1100,1200,16.2,SE,5,5,100,
MO,1998,173,1998-06-22,1,2.5,1315,1422,25.1,,0,5,40,
MO,1998,187,1998-07-06,1,1.2,1130,,23.7,,0,2,100,
MO,1998,204,1998-07-23,1,1.8,937,1035,20.5,WNW,20,70,5,
MO,1998,214,1998-08-02,1,1.7,1300,,24.8,SSW,15,120,15,
MO,1998,230,1998-08-18,1,1.9,,,19.1,NW,10,10,100,
MO,1998,245,1998-09-02,1,1.8,1050,1149,16,NW,10,10,50,
MO,1998,271,1998-09-28,1,1.5,1130,1220,21,,0,0,2,
MO,1998,300,1998-10-27,1,2.4,1130,1300,14.7,SE,18,20,100,
MO,1998,327,1998-11-23,1,4.1,1100,,9.2,W,20,20,35,
MO,1999,27,1999-01-27,1,6.8,945,1300,5,W,15,,100,1
MO,1999,54,1999-02-23,1,4,900,1115,2,SE,13,,55,1
MO,1999,88,1999-03-29,1,2.9,1125,1210,13,,13,40,0,
MO,1999,102,1999-04-12,1,2.9,1230,1425,12,SW,5,8,90,
MO,1999,116,1999-04-26,1,7.3,1050,1200,18,NE,10,20,50,
MO,1999,120,1999-04-30,1,7.5,,,,,0,,0,
MO,1999,130,1999-05-10,1,4.6,1200,1415,18,E,10,30,30,
MO,1999,146,1999-05-26,1,5.4,1125,1240,18.5,NW,5,15,5,
MO,1999,159,1999-06-08,1,6.1,1145,1400,30,S,8,10,35,
MO,1999,172,1999-06-21,1,2.4,1255,1420,28,SE,8,15,50,
MO,1999,188,1999-07-07,1,2,940,1200,25,NW,5,20,0,
MO,1999,200,1999-07-19,1,0.88,1120,1245,28,S,5,2,100,
MO,1999,214,1999-08-02,1,1.8,1040,1235,24,NW,5,10,25,
MO,1999,229,1999-08-17,1,1.6,855,1100,24,WNW,10,15,0,
MO,1999,242,1999-08-30,1,1.7,1222,1405,25,SE,7,12,80,
MO,1999,270,1999-09-27,1,1.5,1145,1315,14,,0,0,100,
MO,1999,299,1999-10-26,1,2.5,1145,1315,16,W,10,15,50,
MO,1999,326,1999-11-22,1,3.2,1140,1250,13,NW,5,10,0,
MO,2000,25,2000-01-25,1,4.4,1100,1325,-6,NW,18,,70,1
MO,2000,73,2000-03-13,1,2.5,1405,1540,5,NW,3,4,90,
MO,2000,89,2000-03-29,1,2.8,1250,1345,11,NW,5,3,30,
MO,2000,101,2000-04-10,1,2,1445,1700,5,E,10,8,100,
MO,2000,116,2000-04-25,1,6.8,1125,1235,16,NE,2,3,0,
MO,2000,130,2000-05-09,1,6.3,1150,1325,14,NNW,10,20,100,
MO,2000,143,2000-05-22,1,5.5,1100,1155,21,SSE,10,25,60,
MO,2000,158,2000-06-06,1,4.9,1340,1535,22.5,NNE,1,0,5,
MO,2000,171,2000-06-19,1,4,1215,1400,28,SW,5,8,5,
MO,2000,185,2000-07-03,1,2.3,1315,1515,25,N,5,10,80,
MO,2000,199,2000-07-17,1,1.9,1300,1405,27,NNW,8,20,0,
MO,2000,214,2000-08-01,1,1.5,1220,1410,27,SSW,2,10,20,
MO,2000,229,2000-08-16,1,1.5,1020,1115,24,NE,5,10,0,
MO,2000,241,2000-08-28,1,1.2,1405,1645,25.5,SE,10,25,15,
MO,2000,269,2000-09-25,1,1.9,1140,1310,13.5,NNE,,10,75,
MO,2000,298,2000-10-24,1,6.2,1040,1205,17.5,-,0,0,50,
MO,2000,332,2000-11-27,1,4.7,1240,1450,-1.3,SW,8,25,100,
MO,2001,15,2001-01-15,1,4.4,1100,1300,0,WSW,8,,100,1
MO,2001,99,2001-04-09,1,2.2,940,1045,5,E,10,25,100,
MO,2001,115,2001-04-25,1,2.5,915,1030,13,S,10,30,10,
MO,2001,129,2001-05-09,1,7.6,840,940,15,S,10,8,0,
MO,2001,141,2001-05-21,1,4,1145,1300,17.7,S,10,10,100,
MO,2001,155,2001-06-04,1,4.8,1220,1530,11.4,E,8,20,100,
MO,2001,169,2001-06-18,1,5,1215,1330,23.4,S,15,40,90,
MO,2001,183,2001-07-02,1,3,1155,1430,18.1,SE,10,10,50,
MO,2001,198,2001-07-17,1,1.2,1515,1625,32.4,,0,2,30,
MO,2001,211,2001-07-30,1,1.4,1355,1730,31.5,,0,5,20,
MO,2001,225,2001-08-13,1,1.3,1310,1505,24.1,NNE,10,10,5,
MO,2001,239,2001-08-27,1,1.44,1110,,20,,10,30,60,
MO,2001,269,2001-09-26,1,1.4,1100,1230,12.5,NW,8,50,60,
MO,2001,295,2001-10-22,1,2.9,1130,1315,,SE,3,10,85,
MO,2001,330,2001-11-26,1,3,1230,130,5.3,E,10,25,100,
MO,2002,100,2002-04-10,1,2.8,1130,1230,12,SW,15,30,80,
MO,2002,113,2002-04-23,1,3.1,1100,1340,10.5,SW,10,15,0,
MO,2002,141,2002-05-21,1,6.5,1200,1400,17.5,,0,0,5,
MO,2002,156,2002-06-05,1,4.9,1000,1100,16.6,,5,10,100,
MO,2002,170,2002-06-19,1,3.9,1200,1400,21.2,S,15,25,100,
MO,2002,182,2002-07-01,1,1.7,1200,1400,25.6,SW,10,10,5,
MO,2002,197,2002-07-16,1,2.3,1100,1400,34.1,SW,5,5,0,
MO,2002,207,2002-07-26,1,0.9,1100,1200,28,NW,10,5,50,
MO,2002,225,2002-08-13,1,1.5,1000,1200,27,W,5,5,100,
MO,2002,238,2002-08-26,1,1.6,1200,1300,28,,0,0,0,
MO,2002,267,2002-09-24,1,1.1,1130,1230,17.3,,0,0,0,
MO,2002,295,2002-10-22,1,1.1,1200,1400,6.5,N,10,15,100,
MO,2002,323,2002-11-19,1,1.2,1230,1430,12.1,SW,15,20,0,
MO,2003,44,2003-02-13,1,0.6,1115,1300,-7.2,NW,5,,5,1
MO,2003,48,2003-02-17,1,5.2,1130,1300,-2,NW,2,,100,1
MO,2003,91,2003-04-01,1,1.4,1030,1200,18.3,NA,0,0,20,
MO,2003,105,2003-04-15,1,1.6,1100,1230,21.9,SW,20,20,10,
MO,2003,118,2003-04-28,1,4.1,1245,1345,17,SW,5,15,75,
MO,2003,133,2003-05-13,1,5,1330,1445,19,NW,5,5,0,
MO,2003,147,2003-05-27,1,5.5,1315,1400,29,,0,0,15,
MO,2003,161,2003-06-10,1,4,1100,1235,19,SE,25,60,100,
MO,2003,174,2003-06-23,1,2.2,1153,1241,28.5,SE,10,20,20,
MO,2003,189,2003-07-08,1,2.2,1305,1445,23,SSE,10,10,100,
MO,2003,204,2003-07-23,1,1.7,1145,1315,25,NE,10,20,10,
MO,2003,217,2003-08-05,1,1.5,1130,1345,29,NNW,5,5,50,
MO,2003,230,2003-08-18,1,1.4,1400,1510,34.5,E,10,10,2,
MO,2003,246,2003-09-03,1,1.4,1100,1215,24,NW,10,20,0,
MO,2003,273,2003-09-30,1,1.8,1100,1230,13,NW,15,40,40,
MO,2003,302,2003-10-29,1,1.5,1200,1400,11,W,5,10,60,
MO,2003,336,2003-12-02,1,2.5,1200,1400,4,,0,0,80,
MO,2004,48,2004-02-17,1,5.2,1130,1300,-2,NW,2,,100,1
MO,2004,91,2004-03-31,1,2.4,1045,1130,4,E,10,20,100,
MO,2004,104,2004-04-13,1,2.7,1145,1300,9,NE,20,35,0,
MO,2004,120,2004-04-29,1,4.1,1145,1300,20,SW,25,70,80,
MO,2004,132,2004-05-11,1,5.5,1115,1215,15,S,10,15,100,
MO,2004,148,2004-05-27,1,2.7,1030,1100,20,W,15,40,20,
MO,2004,160,2004-06-08,1,3,1030,1230,25,SW,15,25,90,
